REPORTING.YEAR,FACILITY.NAME,FACILITY.CITY,FACILITY.COUNTY,FACILITY.STATE,FACILITY.ZIP.CODE,PRIMARY.NAICS.CODE,LATITUDE,LONGITUDE,PARENT.COMPANY.NAME,CHEMICAL.NAME,TOTAL.AIR.EMISSIONS,TOTAL.UNDERGROUND.INJECTION,TOTAL.ON.SITE.LAND.RELEASES,TOTAL.TRANSFERRED.OFF.SITE.TO.DISPOSAL,TOTAL.SURFACE.WATER.DISCHARGE,TRANSFERS.TO.POTWS..METALS.AND.METAL.COMPOUNDS.,Chemical,CERCLA.Chemicals,HAPs,Metals.and.Metal.Compounds,PBT.Chemicals,Priority.Chemicals,OSHA.Chemicals,Other.Health.Effects,Body.Weight,Cardiovascular,Dermal,Developmental,Endocrine,Gastrointestinal,Hematological,Hepatic,Immunological,Metabolic,Musculoskeletal,Neurological,Ocular,Other.Systemic,Renal,Reproductive,Respiratory,Human.health.effects.information.not.identified,Acute,Intermediate,Chronic
2013,AMEREN MISSOURI SIOUX ENERGY CENTER,WEST ALTON,ST CHARLES,MO,63386,221112,38.915021,-90.288875,AMEREN CORP,BARIUM COMPOUNDS,53378,0,830270,0,11,0,BARIUM COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES
2007,HOUGHTON CHEMICAL CORP,ALLSTON,SUFFOLK,MA,2134,424690,42.359689,-71.120022,HOUGHTON CHEMICAL CORP,DICHLOROMETHANE,62884,0,0,0,0,0,DICHLOROMETHANE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES
2011,FORD MOTOR CO SHARONVILLE PLANT,SHARONVILLE,HAMILTON,OH,452411975,336350,39.26924,-84.42329,FORD MOTOR CO,NICKEL,13294,0,0,2300,0,9,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2008,ABE SOUTH DAKOTA - HURON,HURON,BEADLE,SD,57350,325193,44.374508,-98.253288,ADVANCED BIOENERGY LLC,BENZENE,1,NA,NA,0,0,0,BENZENE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES
2010,INTERNATIONAL PAPER,PRATTVILLE,AUTAUGA,AL,36067,322130,32.418731,-86.471209,INTERNATIONAL PAPER CO,ACETALDEHYDE,24936,0,0,0,0,0,ACETALDEHYDE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES
2014,HOLLEY PERFORMANCE PRODUCTS ABERDEEN,ABERDEEN,MONROE,MS,39730,336390,33.816389,-88.554167,HOLLEY PERFORMANCE PRODUCTS,XYLENE (MIXED ISOMERS),18541,0,0,0,0,0,XYLENE (MIXED ISOMERS),YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
2011,THE GOODYEAR TIRE & RUBBER CO,DANVILLE,DANVILLE (CITY),VA,24541,326211,36.55935,-79.37319,THE GOODYEAR TIRE & RUBBER CO,COBALT COMPOUNDS,24464,0,0,1559,0,0,COBALT COMPOUNDS,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES
2003,CYTEC INDUSTRIES INC,MOUNT PLEASANT,MAURY,TN,38474,325199,35.5249,-87.2431,CYTEC INDUSTRIES INC,TOLUENE,54102,0,0,0,0,0,TOLUENE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES
2006,INVISTA SA RL-WILMINGTON,WILMINGTON,NEW HANOVER,NC,28401,325199,34.31309,-77.9786,KOCH INDUSTRIES INC,SODIUM NITRITE,5482,0,0,0,0,0,SODIUM NITRITE,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
2010,CITGO REFINING & CHEMICALS CO LP-WEST PLANT,CORPUS CHRISTI,NUECES,TX,78409,324110,27.8103,-97.49828,PDV AMERICA INC,CHROMIUM,5482,0,0,18,10,0,CHROMIUM,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
